feature,feature_display,neutral_normalized,general_normalized,popular_normalized,engaging_normalized,informative_normalized,controversial_normalized
polarization_score,Content: Polarization Score,-0.20010392090377457,-0.7212484583277357,-1.0279017693767543,-0.5546983169083483,0.5661927985946392,1.9377596669219725
Text Length,Text Length,0.19062566838980832,-0.31847570888187526,-1.5391036872584694,-0.628033974578442,0.6650604531057049,1.6299272492232744
primary_topic,Content: Primary Topic,-0.3223569341024141,-0.6923664366379588,-0.9295404658386597,-0.6972218064634778,0.7832357061200936,1.8582499369224146
has_mention,Style: Has Mention,-0.902921896092191,1.783802468904946,0.4705946688251339,-0.24000709075052773,0.18791817202493413,-1.2993863229122968
sentiment_polarity,Sentiment: Polarity,-0.8259412382059329,-0.5888977732058245,-0.42129124504384685,-0.44337425923214246,0.14003154226291328,2.139472973424833
has_url,Style: Has URL,-0.9008347839089359,0.2766366923340561,0.08648999268954752,-0.4195450574842451,1.9736689614919574,-1.01641580512238
avg_word_length,Text: Avg Word Length,-0.5958970627218904,1.6856025994159194,0.6893436569387664,0.25295449130195485,-1.3321904156764477,-0.6998132692583009
retweet_count,Post Meta: Retweets,1.869908725687343,0.3791227818542079,-0.17777837129885393,-0.057938199924156095,-1.3926799889813561,-0.6206349473371834
favorite_count,Post Meta: Likes,1.4720401565690688,0.5874845045318146,0.13221665537500907,0.2575659629083443,-1.6744231310726234,-0.7748841483116136
user_followers_count,Author Meta: Followers,0.10513090646079995,1.2513309574040894,0.39522661706711354,-0.17529604810768623,0.4352577044805585,-2.0116501373048754
toxicity,Toxicity: Toxicity,-1.0166868242898903,-1.1610515760364057,-0.5366239277246774,0.1895454247147374,1.0310383654689972,1.4937785378672384
user_friends_count,Author Meta: Following,0.6011708332580711,1.7077868842747672,-1.3484914196485325,-0.47627208257331655,0.28685060363746756,-0.7710448189484583
author_age,Author: Age,-0.8139786470247727,-0.9602411655066232,-0.3206666691235378,-0.5663577828013928,0.8559238607562444,1.8053204037000836
author_ideology,Author: Ideology,-0.6135723439564991,-0.6867606808000623,-0.37953659159795416,-1.0131914675888753,0.9252261563092036,1.7678349276341858
has_hashtag,Style: Has Hashtag,-1.6554970271778153,0.3203695523497831,-0.3098047755850784,-0.6502434340257401,1.1029688482592883,1.1922068361795635
author_race,Author: Race,-1.5023927231510634,-0.7999938006431258,0.006824537474804734,-0.040411283682410946,1.5997046095590912,0.7362686604427006
has_emoji,Style: Has Emoji,-0.5713050767754494,-0.7767827055379812,-0.8153978167214547,-0.6165684905540877,1.1064441961864955,1.6736098934024772
sentiment_subjectivity,Sentiment: Subjectivity,-0.6744616534664215,-0.2786267624193082,-0.3548115579989453,0.24869819215727423,2.06563024696141,-1.0064284652340094
author_education,Author: Education,0.8402457149978304,-1.233681227221288,-0.9941733159989954,-0.7322650905080678,1.0442476739866093,1.075626244743912
author_gender,Author: Gender,-0.25127998841778915,-0.5600373385069879,-0.8482899014313121,-1.0206758017443527,0.9727975774115655,1.7074854526888747
author_income,Author: Income,-1.0161216801356363,-0.8984278824057296,0.8406453336580808,-1.0718208482058413,1.1100882715791827,1.0356368055099416
author_marital_status,Author: Marital Status,0.7449080486106467,-1.282457899404031,-0.46477488973645215,-1.1163073902094496,0.8425733664094731,1.2760587643298107
user_statuses_count,Author Meta: Tweet Count,-0.21730427315073264,1.1940668247975894,-1.2394120442827872,-1.0388721946775088,1.3803519164938685,-0.0788302291804299
author_partisanship,Author: Partisanship,-1.4598440222138696,-0.6017925542420998,1.6763785088262608,0.7610806462132481,-0.3405402385177873,-0.03528234006575808
user_favourites_count,Author Meta: Likes Given,1.3075212171906325,-1.0603985537447076,-1.04152518286457,0.6663118339874896,0.9665400505428587,-0.8384493651117042
author_religiosity,Author: Religiosity,-0.5001969871863533,-0.9850666689394108,1.377365487460428,-1.0855997576082588,1.3008673700750097,-0.10736944380141009
retweeted,Post Meta: Is Retweeted,0.0,0.0,0.0,0.0,0.0,0.0
